date,game_day,home_team,away_team,attendance,max_temperature,mean_temperature,min_temperature,year,month,day,url
3/6/2015,Friday,LA Galaxy,Chicago,27000,79,65,50,2015,3,6,http://matchcenter.mlssoccer.com/matchcenter/2015-03-06-la-galaxy-vs-chicago-fire/boxscore
3/7/2015,Saturday,D.C. United,Montreal,11549,49,34,19,2015,3,7,http://matchcenter.mlssoccer.com/matchcenter/2015-03-07-dc-united-vs-montreal-impact/boxscore
